"Group.1","x","timeWorked","cumTimeWorked","cumTickets","ticket_id"
"139298",2012-06-21,14,1513.29166666667,199,"139298"
"139319",2012-06-21,0.166666666666667,1513.45833333333,200,"139319"
"139107",2012-06-27,5,1518.45833333333,201,"139107"
"139201",2012-06-27,5.5,1523.95833333333,202,"139201"
"139518",2012-06-27,1.5,1525.45833333333,203,"139518"
"139620",2012-06-28,0.5,1525.95833333333,204,"139620"
"139654",2012-06-28,0.333333333333333,1526.29166666667,205,"139654"
"138973",2012-06-29,12,1538.29166666667,206,"138973"
"139677",2012-06-29,7,1545.29166666667,207,"139677"
"139740",2012-07-02,0.0833333333333333,1545.375,208,"139740"
"139737",2012-07-06,3,1548.375,209,"139737"
"139922",2012-07-06,0.75,1549.125,210,"139922"
"139945",2012-07-06,4.5,1553.625,211,"139945"
"140034",2012-07-06,1.5,1555.125,212,"140034"
"139131",2012-07-09,7,1562.125,213,"139131"
"134734",2012-07-10,2,1564.125,214,"134734"
"135536",2012-07-10,1,1565.125,215,"135536"
"136214",2012-07-10,3.5,1568.625,216,"136214"
"136609",2012-07-10,1,1569.625,217,"136609"
"137413",2012-07-10,10,1579.625,218,"137413"
"138539",2012-07-10,0.5,1580.125,219,"138539"
"138649",2012-07-10,22,1602.125,220,"138649"
"140112",2012-07-10,0.5,1602.625,221,"140112"
"140274",2012-07-12,1,1603.625,222,"140274"
"139607",2012-07-13,1,1604.625,223,"139607"
"140398",2012-07-16,4,1608.625,224,"140398"
"140530",2012-07-25,18,1626.625,225,"140530"
"141063",2012-07-30,0.333333333333333,1626.95833333333,226,"141063"
"141172",2012-08-01,1,1627.95833333333,227,"141172"
"141130",2012-08-02,3,1630.95833333333,228,"141130"
"141374",2012-08-03,6,1636.95833333333,229,"141374"
"141503",2012-08-06,11,1647.95833333333,230,"141503"
"141511",2012-08-06,1,1648.95833333333,231,"141511"
"141613",2012-08-09,2,1650.95833333333,232,"141613"
"141679",2012-08-09,4,1654.95833333333,233,"141679"
"141699",2012-08-09,1,1655.95833333333,234,"141699"
"141751",2012-08-10,6,1661.95833333333,235,"141751"
"141715",2012-08-15,13,1674.95833333333,236,"141715"
"141710",2012-08-16,1,1675.95833333333,237,"141710"
"141966",2012-08-16,0.5,1676.45833333333,238,"141966"
"142773",2012-08-22,9.5,1685.95833333333,239,"142773"
"142786",2012-08-22,1.5,1687.45833333333,240,"142786"
"142851",2012-08-23,1.75,1689.20833333333,241,"142851"
"142792",2012-08-24,0.5,1689.70833333333,242,"142792"
"142909",2012-08-24,1,1690.70833333333,243,"142909"
"141491",2012-08-27,1,1691.70833333333,244,"141491"
"142959",2012-08-28,11.5,1703.20833333333,245,"142959"
"143059",2012-08-28,5,1708.20833333333,246,"143059"
"143100",2012-08-30,0.0833333333333333,1708.29166666667,247,"143100"
"142824",2012-09-04,5.5,1713.79166666667,248,"142824"
"143314",2012-09-04,2,1715.79166666667,249,"143314"
"143381",2012-09-05,2.25,1718.04166666667,250,"143381"
"143383",2012-09-07,12,1730.04166666667,251,"143383"
"143690",2012-09-07,3,1733.04166666667,252,"143690"
"143272",2012-09-10,12.3333333333333,1745.375,253,"143272"
"143845",2012-09-10,0.25,1745.625,254,"143845"
