Timestamp	Your Harvard status/appointment	Your primary affiliated school at Harvard	Your Harvard Department/Unit/Center/Program	Pick the item you are requesting access to
4/10/2019 17:42:38	Other Affliate	Harvard College	FYE	Esri Business Analyst Desktop Data
4/10/2019 17:43:23	Other Affliate	Harvard College	FYE	Esri Community Analyst Desktop Data
4/16/2019 8:59:07	Graduate student: Masters	Harvard Graduate School of Design (GSD)	UPD	ArcGIS Enterprise (Server)
5/15/2019 15:32:21	Post doctoral research associate	FAS Social Science Division	Sociology	ArcGIS Online Credit
5/16/2019 11:56:59	Graduate student: Doctorate	Harvard School of Engineering and Applied Sciences (SEAS)	Material Science/Mechanical Eng.	Trimble Pathfinder
5/31/2019 16:39:38	Staff	Harvard School of Public Health (HSPH)	Global Health	Esri Training Courses (Virtual Campus)
7/18/2019 15:05:13	Staff	HUIT, Libraries, UPO, University Centers, Programs, etc.	HUIT Endpoint Systems Management	TerrSet classroom licenses
7/24/2019 12:26:36	Undergraduate student	Harvard College	Massachussetts General Hospitals -- Mongan Institute for Health Policy	ArcGIS Online Credit
7/29/2019 13:09:04	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Urban Planning Degree Candidate, GSD	Esri Business Analyst Online
8/5/2019 8:41:14	Staff	FAS other units	Map Collection	Trimble Pathfinder
8/26/2019 10:42:12	Faculty	Harvard Law School (HLS)	Empirical Department	Esri Training Courses (Virtual Campus)
9/3/2019 22:14:09	Graduate student: Masters	Harvard Law School (HLS)	Harvard Law School	Esri Training Courses (Virtual Campus)
9/4/2019 10:42:33	Graduate student: Doctorate	Harvard Law School (HLS)	Harvard Law School	Esri Training Courses (Virtual Campus)
9/4/2019 10:50:18	Graduate student: Doctorate	Harvard Law School (HLS)	Intro to GIS 	Esri Training Courses (Virtual Campus)
9/4/2019 11:07:56	Graduate student: Masters	Harvard Law School (HLS)	JD	Esri Training Courses (Virtual Campus)
