Transaction Created	Transaction Time Worked	Ticket ID	Queue Name	Ticket Requestor	Ticket Owner	Ticket Subject	Ticket Parents IDs	Ticket Children IDs	Request Type	School	Department/Concentration	Status	Sponsored?	Reason for Lab Access:	Lab Discovery	Audio & Video	Power Adapters	Input Devices	Cables & Adapters	Laptops	Misc	Year	month	Year-month
9/26/22 20:45									Remote Access	FAS	Environmental Health	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/26/22 22:55									Remote Access	FAS	Environmental Health	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/26/22 22:55									Remote Access	FAS	Environmental Health	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/26/22 22:59									Remote Access	FAS	Environmental Health	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/28/22 14:53									Remote Access	FAS	Environmental Health	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/28/22 15:15									Remote Access	FAS	Environmental Health	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/28/22 18:56									Remote Access	FAS	Environmental Health	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/28/22 18:56									Remote Access	FAS	Environmental Health	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/28/22 18:56									Remote Access	FAS	Environmental Health	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/28/22 18:56									Remote Access	FAS	Environmental Health	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/28/22 18:56									Remote Access	FAS	Environmental Health	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/28/22 18:56									Remote Access	FAS	Environmental Health	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/28/22 18:56									Remote Access	FAS	Environmental Health	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/28/22 18:57									Remote Access	FAS	Environmental Health	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
